Parameters for cropping eye images
Name of the iris sample, iris x-coordinate, iris y-coordinate, iris radius
u001_s01_iris_ds2-lg-0l_01.bmp,231,338,110
u001_s01_iris_ds2-lg-0l_02.bmp,262,321,118
u001_s02_iris_ds2-lg-0l_01.bmp,261,295,115
u001_s02_iris_ds2-lg-0l_02.bmp,248,323,115
u001_s01_iris_ds2-lg-0r_01.bmp,260,330,112
u001_s01_iris_ds2-lg-0r_02.bmp,232,329,120
u001_s02_iris_ds2-lg-0r_01.bmp,225,321,113
u001_s02_iris_ds2-lg-0r_02.bmp,232,314,112
u002_s01_iris_ds2-lg-0l_01.bmp,259,367,108
u002_s01_iris_ds2-lg-0l_02.bmp,299,385,103
u002_s02_iris_ds2-lg-0l_01.bmp,273,240,103
u002_s02_iris_ds2-lg-0l_02.bmp,258,254,103
u002_s01_iris_ds2-lg-0r_01.bmp,248,360,100
u002_s01_iris_ds2-lg-0r_02.bmp,220,363,100
u002_s02_iris_ds2-lg-0r_01.bmp,303,334,97
u002_s02_iris_ds2-lg-0r_02.bmp,275,310,105
u003_s01_iris_ds2-lg-0l_01.bmp,313,245,112
u003_s01_iris_ds2-lg-0l_02.bmp,302,255,110
u003_s02_iris_ds2-lg-0l_01.bmp,313,335,118
u003_s02_iris_ds2-lg-0l_02.bmp,315,330,108
u003_s01_iris_ds2-lg-0r_01.bmp,227,253,108
u003_s01_iris_ds2-lg-0r_02.bmp,312,259,107
u003_s02_iris_ds2-lg-0r_01.bmp,310,352,117
u003_s02_iris_ds2-lg-0r_02.bmp,335,250,117
u004_s01_iris_ds2-lg-0l_01.bmp,271,285,110
u004_s01_iris_ds2-lg-0l_02.bmp,258,330,110
u004_s02_iris_ds2-lg-0l_01.bmp,270,355,115
u004_s02_iris_ds2-lg-0l_02.bmp,275,338,113
u004_s01_iris_ds2-lg-0r_01.bmp,245,327,108
u004_s01_iris_ds2-lg-0r_02.bmp,251,290,118
u004_s02_iris_ds2-lg-0r_01.bmp,250,326,110
u004_s02_iris_ds2-lg-0r_02.bmp,263,325,112
u005_s01_iris_ds2-lg-0l_01.bmp,303,320,115
u005_s01_iris_ds2-lg-0l_02.bmp,263,333,113
u005_s02_iris_ds2-lg-0l_01.bmp,292,320,115
u005_s02_iris_ds2-lg-0l_02.bmp,268,345,117
u005_s01_iris_ds2-lg-0r_01.bmp,287,327,112
u005_s01_iris_ds2-lg-0r_02.bmp,293,345,110
u005_s02_iris_ds2-lg-0r_01.bmp,270,330,112
u005_s02_iris_ds2-lg-0r_02.bmp,290,315,107
u006_s01_iris_ds2-lg-0l_01.bmp,277,374,110
u006_s01_iris_ds2-lg-0l_02.bmp,274,382,110
u006_s02_iris_ds2-lg-0l_01.bmp,259,324,107
u006_s02_iris_ds2-lg-0l_02.bmp,260,347,108
u006_s01_iris_ds2-lg-0r_01.bmp,292,258,110
u006_s01_iris_ds2-lg-0r_02.bmp,260,232,110
u006_s02_iris_ds2-lg-0r_01.bmp,270,260,110
u006_s02_iris_ds2-lg-0r_02.bmp,282,250,108
u007_s01_iris_ds2-lg-0l_01.bmp,252,335,113
u007_s01_iris_ds2-lg-0l_02.bmp,225,336,112
u007_s02_iris_ds2-lg-0l_01.bmp,235,375,110
u007_s02_iris_ds2-lg-0l_02.bmp,282,348,112
u007_s01_iris_ds2-lg-0r_01.bmp,249,340,105
u007_s01_iris_ds2-lg-0r_02.bmp,245,317,107
u007_s02_iris_ds2-lg-0r_01.bmp,252,325,107
u007_s02_iris_ds2-lg-0r_02.bmp,249,312,105
u008_s01_iris_ds2-lg-0l_01.bmp,302,345,118
u008_s01_iris_ds2-lg-0l_02.bmp,296,320,117
u008_s02_iris_ds2-lg-0l_01.bmp,278,345,108
u008_s02_iris_ds2-lg-0l_02.bmp,269,351,110
u008_s01_iris_ds2-lg-0r_01.bmp,285,343,117
u008_s01_iris_ds2-lg-0r_02.bmp,286,347,118
u008_s02_iris_ds2-lg-0r_01.bmp,309,324,105
u008_s02_iris_ds2-lg-0r_02.bmp,299,345,108
u009_s01_iris_ds2-lg-0l_01.bmp,270,334,112
u009_s01_iris_ds2-lg-0l_02.bmp,313,298,113
u009_s02_iris_ds2-lg-0l_01.bmp,308,370,113
u009_s02_iris_ds2-lg-0l_02.bmp,310,305,113
u009_s01_iris_ds2-lg-0r_01.bmp,296,299,107
u009_s01_iris_ds2-lg-0r_02.bmp,280,313,110
u009_s02_iris_ds2-lg-0r_01.bmp,314,302,108
u009_s02_iris_ds2-lg-0r_02.bmp,289,219,108
u010_s01_iris_ds2-lg-0l_01.bmp,217,302,110
u010_s01_iris_ds2-lg-0l_02.bmp,225,350,108
u010_s02_iris_ds2-lg-0l_01.bmp,291,323,110
u010_s02_iris_ds2-lg-0l_02.bmp,247,334,108
u010_s01_iris_ds2-lg-0r_01.bmp,232,292,107
u010_s01_iris_ds2-lg-0r_02.bmp,235,335,108
u010_s02_iris_ds2-lg-0r_01.bmp,290,322,108
u010_s02_iris_ds2-lg-0r_02.bmp,255,341,115
u011_s01_iris_ds2-lg-0l_01.bmp,322,386,123
u011_s01_iris_ds2-lg-0l_02.bmp,289,362,123
u011_s02_iris_ds2-lg-0l_01.bmp,274,356,117
u011_s02_iris_ds2-lg-0l_02.bmp,270,323,122
u011_s01_iris_ds2-lg-0r_01.bmp,289,326,120
u011_s01_iris_ds2-lg-0r_02.bmp,295,330,120
u011_s02_iris_ds2-lg-0r_01.bmp,270,303,122
u011_s02_iris_ds2-lg-0r_02.bmp,310,310,115
u012_s01_iris_ds2-lg-0l_01.bmp,286,366,107
u012_s01_iris_ds2-lg-0l_02.bmp,275,330,110
u012_s02_iris_ds2-lg-0l_01.bmp,304,343,107
u012_s02_iris_ds2-lg-0l_02.bmp,260,340,115
u012_s01_iris_ds2-lg-0r_01.bmp,255,348,102
u012_s01_iris_ds2-lg-0r_02.bmp,258,320,102
u012_s02_iris_ds2-lg-0r_01.bmp,302,327,105
u012_s02_iris_ds2-lg-0r_02.bmp,305,345,110
u013_s01_iris_ds2-lg-0l_01.bmp,275,297,107
u013_s01_iris_ds2-lg-0l_02.bmp,277,305,110
u013_s02_iris_ds2-lg-0l_01.bmp,268,313,108
u013_s02_iris_ds2-lg-0l_02.bmp,258,283,112
u013_s01_iris_ds2-lg-0r_01.bmp,294,273,117
u013_s01_iris_ds2-lg-0r_02.bmp,269,303,120
u013_s02_iris_ds2-lg-0r_01.bmp,270,309,103
u013_s02_iris_ds2-lg-0r_02.bmp,258,280,110
u014_s01_iris_ds2-lg-0l_01.bmp,254,343,118
u014_s01_iris_ds2-lg-0l_02.bmp,240,325,115
u014_s02_iris_ds2-lg-0l_01.bmp,277,355,117
u014_s02_iris_ds2-lg-0l_02.bmp,267,325,115
u014_s01_iris_ds2-lg-0r_01.bmp,275,300,117
u014_s01_iris_ds2-lg-0r_02.bmp,270,330,115
u014_s02_iris_ds2-lg-0r_01.bmp,280,312,112
u014_s02_iris_ds2-lg-0r_02.bmp,280,312,112
u015_s01_iris_ds2-lg-0l_01.bmp,262,335,110
u015_s01_iris_ds2-lg-0l_02.bmp,277,346,107
u015_s02_iris_ds2-lg-0l_01.bmp,244,355,110
u015_s02_iris_ds2-lg-0l_02.bmp,239,322,112
u015_s01_iris_ds2-lg-0r_01.bmp,264,325,107
u015_s01_iris_ds2-lg-0r_02.bmp,275,308,108
u015_s02_iris_ds2-lg-0r_01.bmp,245,313,110
u015_s02_iris_ds2-lg-0r_02.bmp,242,330,107
u016_s01_iris_ds2-lg-0l_01.bmp,245,353,115
u016_s01_iris_ds2-lg-0l_02.bmp,269,355,115
u016_s02_iris_ds2-lg-0l_01.bmp,257,372,112
u016_s02_iris_ds2-lg-0l_02.bmp,252,350,115
u016_s01_iris_ds2-lg-0r_01.bmp,255,312,112
u016_s01_iris_ds2-lg-0r_02.bmp,250,307,118
u016_s02_iris_ds2-lg-0r_01.bmp,243,323,110
u016_s02_iris_ds2-lg-0r_02.bmp,265,325,112
u018_s01_iris_ds2-lg-0l_01.bmp,274,314,112
u018_s01_iris_ds2-lg-0l_02.bmp,255,322,110
u018_s02_iris_ds2-lg-0l_01.bmp,219,340,113
u018_s02_iris_ds2-lg-0l_02.bmp,273,315,113
u018_s01_iris_ds2-lg-0r_01.bmp,295,338,108
u018_s01_iris_ds2-lg-0r_02.bmp,253,317,113
u018_s02_iris_ds2-lg-0r_01.bmp,282,307,108
u018_s02_iris_ds2-lg-0r_02.bmp,291,324,108
u019_s01_iris_ds2-lg-0l_01.bmp,205,306,123
u019_s01_iris_ds2-lg-0l_02.bmp,238,345,122
u019_s02_iris_ds2-lg-0l_01.bmp,262,340,118
u019_s02_iris_ds2-lg-0l_02.bmp,277,308,120
u019_s01_iris_ds2-lg-0r_01.bmp,241,320,118
u019_s01_iris_ds2-lg-0r_02.bmp,205,310,117
u019_s02_iris_ds2-lg-0r_01.bmp,301,335,118
u019_s02_iris_ds2-lg-0r_02.bmp,282,275,117
u020_s01_iris_ds2-lg-0l_01.bmp,257,327,108
u020_s01_iris_ds2-lg-0l_02.bmp,268,327,108
u020_s02_iris_ds2-lg-0l_01.bmp,278,323,117
u020_s02_iris_ds2-lg-0l_02.bmp,293,308,110
u020_s01_iris_ds2-lg-0r_01.bmp,260,294,117
u020_s01_iris_ds2-lg-0r_02.bmp,278,313,120
u020_s02_iris_ds2-lg-0r_01.bmp,275,300,120
u020_s02_iris_ds2-lg-0r_02.bmp,275,320,113
u021_s01_iris_ds2-lg-0l_01.bmp,272,273,113
u021_s01_iris_ds2-lg-0l_02.bmp,242,305,117
u021_s02_iris_ds2-lg-0l_01.bmp,210,368,113
u021_s02_iris_ds2-lg-0l_02.bmp,228,358,112
u021_s01_iris_ds2-lg-0r_01.bmp,290,302,118
u021_s01_iris_ds2-lg-0r_02.bmp,248,312,105
u021_s02_iris_ds2-lg-0r_01.bmp,264,324,108
u021_s02_iris_ds2-lg-0r_02.bmp,275,393,105
u022_s01_iris_ds2-lg-0l_01.bmp,240,322,117
u022_s01_iris_ds2-lg-0l_02.bmp,250,332,115
u022_s02_iris_ds2-lg-0l_01.bmp,248,338,108
u022_s02_iris_ds2-lg-0l_02.bmp,272,333,112
u022_s01_iris_ds2-lg-0r_01.bmp,225,337,115
u022_s01_iris_ds2-lg-0r_02.bmp,247,325,112
u022_s02_iris_ds2-lg-0r_01.bmp,299,338,105
u022_s02_iris_ds2-lg-0r_02.bmp,282,309,105
u023_s01_iris_ds2-lg-0l_01.bmp,248,305,107
u023_s01_iris_ds2-lg-0l_02.bmp,255,345,107
u023_s02_iris_ds2-lg-0l_01.bmp,305,357,107
u023_s02_iris_ds2-lg-0l_02.bmp,293,275,107
u023_s01_iris_ds2-lg-0r_01.bmp,250,319,103
u023_s01_iris_ds2-lg-0r_02.bmp,258,312,107
u023_s02_iris_ds2-lg-0r_01.bmp,282,329,100
u023_s02_iris_ds2-lg-0r_02.bmp,288,330,102
u024_s01_iris_ds2-lg-0l_01.bmp,260,355,113
u024_s01_iris_ds2-lg-0l_02.bmp,232,355,108
u024_s02_iris_ds2-lg-0l_01.bmp,235,318,112
u024_s02_iris_ds2-lg-0l_02.bmp,238,335,108
u024_s01_iris_ds2-lg-0r_01.bmp,275,331,113
u024_s01_iris_ds2-lg-0r_02.bmp,260,328,112
u024_s02_iris_ds2-lg-0r_01.bmp,203,318,112
u024_s02_iris_ds2-lg-0r_02.bmp,247,335,105
u025_s01_iris_ds2-lg-0l_01.bmp,228,270,120
u025_s01_iris_ds2-lg-0l_02.bmp,250,290,120
u025_s02_iris_ds2-lg-0l_01.bmp,252,333,117
u025_s02_iris_ds2-lg-0l_02.bmp,280,287,118
u025_s01_iris_ds2-lg-0r_01.bmp,289,274,117
u025_s01_iris_ds2-lg-0r_02.bmp,238,258,113
u025_s02_iris_ds2-lg-0r_01.bmp,266,271,120
u025_s02_iris_ds2-lg-0r_02.bmp,259,231,113
u026_s01_iris_ds2-lg-0l_01.bmp,298,324,113
u026_s01_iris_ds2-lg-0l_02.bmp,300,323,118
u026_s02_iris_ds2-lg-0l_01.bmp,246,337,113
u026_s02_iris_ds2-lg-0l_02.bmp,276,313,108
u026_s01_iris_ds2-lg-0r_01.bmp,291,327,112
u026_s01_iris_ds2-lg-0r_02.bmp,304,313,117
u026_s02_iris_ds2-lg-0r_01.bmp,240,327,108
u026_s02_iris_ds2-lg-0r_02.bmp,272,317,112
u027_s01_iris_ds2-lg-0l_01.bmp,227,337,122
u027_s01_iris_ds2-lg-0l_02.bmp,255,337,117
u027_s02_iris_ds2-lg-0l_01.bmp,288,342,120
u027_s02_iris_ds2-lg-0l_02.bmp,280,347,120
u027_s01_iris_ds2-lg-0r_01.bmp,313,346,118
u027_s01_iris_ds2-lg-0r_02.bmp,265,325,117
u027_s02_iris_ds2-lg-0r_01.bmp,290,332,118
u027_s02_iris_ds2-lg-0r_02.bmp,255,321,118
u028_s01_iris_ds2-lg-0l_01.bmp,290,328,105
u028_s01_iris_ds2-lg-0l_02.bmp,278,352,107
